id,part,page,system,bar_slot,role,pitch,german_pitch,midi,recommended_slide_position,slide_positions,clef,key_fifths,omr_explicit_alter,status,x,y
p07-s02-h2025,2,7,2,8,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.8498245614035088,0.22912776740464125
p07-s03-h2082,2,7,3,1,play,F3,F3,53,1,"[1, 6]",ALTO,1,0,visually_checked,0.19035087719298247,0.29741264337156575
p07-s03-h2068,2,7,3,1,play,Gb3,Gb3,54,5,[5],ALTO,1,-1,visually_checked,0.2324561403508772,0.294478527607362
p07-s03-h2112,2,7,3,2,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.2829824561403509,0.30328087489997335
p07-s03-h2146,2,7,3,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.3173684210526316,0.29154441184315816
p07-s03-h2116,2,7,3,3,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.37315789473684213,0.30354761269671915
p07-s03-h2060,2,7,3,4,play,Bb3,Bb3,58,1,"[1, 5]",ALTO,1,-1,visually_checked,0.4492982456140351,0.289143771672446
p07-s03-h2064,2,7,3,4,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.48719298245614034,0.29207788743664975
p07-s03-h2072,2,7,3,5,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.5405263157894736,0.2955454787943452
p07-s03-h2076,2,7,3,5,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.5773684210526315,0.29581221659109097
p07-s03-h2100,2,7,3,6,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.6429824561403509,0.3022139237129901
p07-s03-h2153,2,7,3,6,play,Eb3,Eb3,51,3,[3],ALTO,1,,visually_checked,0.6798245614035088,0.3022139237129901
p07-s03-h2104,2,7,3,7,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.7471929824561403,0.3022139237129901
p07-s03-h2092,2,7,3,7,play,F3,F3,53,1,"[1, 6]",ALTO,1,0,visually_checked,0.7931578947368421,0.29927980794878634
p07-s03-h2108,2,7,3,8,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.8543859649122807,0.3027473993064817
p07-s04-h2203,2,7,4,1,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.19701754385964912,0.375300080021339
